PRCP ID,Statistical Outlier %,Statistical Outlier Score
1000663589,7.34544,1
1000663613, 38.60421,2
1000663616,3.02668,1
1000663618,8.46406,1
1000663620, 24.20399,1
1000663621,4.46708,1
1000663654,5.50366,1
1000663672,628.69042,2
1000663673,1.87470,1
1000663675,1.91355,1
1000663682, 50.94057,2
1000663704,1.03860,3
1000663705,5.26782,1
1000663720, 96.28745,2
1000663734,5.09173,1
1000663747, 80.67616,2
1000663752, 10.93642,1
1000663755, 53.43102,2
1000663757, 14.06348,1
1000663759, 67.90712,2
1000663761,1.90089,1
1000663767,3.32038,1
1000663772, 15.66250,1
1000663778,9.13000,1
1000663779,3.66352,1
1000663783,2.01570,1
1000663789,2.19114,1
1000663793,2.36117,1
1000663794,3.62912,1
1000663796,2.30412,1
1000663807,2.90099,1
1000663814,5.19850,1
1000663819, 11.73993,1
1000663841,1.81672,1
1000663848, 13.21257,1
1000663853,6.74256,1
1000663890,6.91627,1
1000663902,2.09086,1
1000663910,2.88640,1
1000663918,4.01299,1
1000663930,0.32400,3
1000663933,2.46976,1
1000663945,1.42793,1
1000663946, 14.23761,1
1000663951,3.20473,1
1000664008,0.43512,3
1000664020,477.25274,2
1000664032,3.63334,1
1000664036,2.23610,1
1000664049, 14.92799,1
1000664058,8.50112,1
1000664085,0.86621,3
1000664086, 66.68900,2
1000664094,5.81831,1
1000664106, 15.32334,1
1000664114,208.47548,2
1000664116, 15.39768,1
1000664117,3.99844,1
1000664128, 15.48824,1
1000664131,6.99614,1
1000664134, 13.46800,1
1000664139,4.63078,1
1000664148,0.45214,3
1000664150,9.41237,1
1000664151, 10.28775,1
1000664157,4.22796,1
1000664158,8.74070,1
1000664162, 29.64122,1
1000664177,8.66500,1
1000664178,1.12528,3
1000664186,6.38280,1
1000664193,0.20600,3
1000664211,9.06824,1
1000664212,0.60614,3
1000664223, 10.23870,1
1000664236,4.21387,1
1000664252,1.41500,1
1000664280, 16.62300,1
1000664287,1.40900,1
1000664292,2.55099,1
1000664295,0.38483,3
1000664296, 17.75752,1
1000664299,4.18738,1
1000664310,1.89390,1
1000664313, 44.77768,2
1000664314,9.68922,1
1000664347,3.74554,1
1000664356,2.99374,1
1000664363,3.65880,1
1000664379, 10.03900,1
1000664406, 17.05962,1
1000664412, 18.73441,1
1000664413,7.07622,1
1000664442,1.75540,1
1000664464,8.50082,1
1000664467, 15.25528,1
1000664482, 36.26816,2
1000664492,3.35690,1
1000664497,4.01806,1
1000664499,893.64836,2
1000664539,5.49274,1
1000664542,3.53071,1
1000664552,4.90903,1
1000664554, 10.42613,1
1000664558,3.90410,1
1000664559,425.16525,2
1000664596,2.83798,1
1000664604, 10.76222,1
1000664615,5.85655,1
1000664629, 13.04963,1
1000664632,2.66274,1
1000664639,5.94431,1
1000664643, 13.73434,1
1000664654,2.39902,1
1000664662,1.93635,1
1000664666,9.86421,1
1000664668,0.72365,3
1000664670,1.27022,1
1000664673,0.75510,3
1000664679,4.19398,1
1000664681,6.64669,1
1000664706, 11.38763,1
1000664713,1.51745,1
1000664715, 35.51294,2
1000664731,3.58716,1
1000664754,2.73557,1
1000664772,3.15787,1
1000664798,0.32840,3
1000664799,3.20743,1
1000664806,3.56635,1
1000664807,1.06550,3
1000664815,0.69159,3
1000664823,0.16030,3
1000664825,8.35821,1
1000664826,8.23775,1
1000664827, 37.84164,2
1000664829, 30.04880,1
1000664830,2.70961,1
1000664832, 50.87076,2
1000664834,8.11550,1
1000664839,3.26461,1
1000664846,0.76702,3
1000664858,5.05500,1
1000664862, 11.87370,1
1000664867,9.93512,1
1000664873,6.10282,1
1000664888, 21.50287,1
1000664910, 17.09228,1
1000664919,3.04090,1
1000664920,1.93463,1
1000664946, 12.42695,1
1000664948,3.44400,1
1000664951, 42.69200,2
1000664957,4.34900,1
1000664960,3.72374,1
1000664961,1.32310,1
1000664973,3.01612,1
1000664975,222.56250,2
1000664988, 31.28988,1
1000664993, 29.63568,1
1000665031, 30.24826,1
1000665056,0.60592,3
1000665059,0.69347,3
1000665062,3.47206,1
1000665067,3.72966,1
1000665069,3.33610,1
1000665087,4.43453,1
1000665091,4.99139,1
1000665095,2.88673,1
1000665110,8.38206,1
1000665129,9.27745,1
1000665137,3.96430,1
1000665154,5.96496,1
1000665175,1.17849,3
1000665213,1.89472,1
1000665223,772.96621,2
1000665228,3.11210,1
1000665238, 10.52593,1
1000665239,3.64116,1
1000665244,7.76112,1
1000665252,2.22809,1
1000665253,1.66004,1
1000665257,1.15970,3
1000665262,1.47440,1
1000665264,7.73119,1
1000665271,4.29673,1
1000665280,1.23037,3
1000665286,0.34900,3
1000665295, 73.95324,2
