PRCP ID,Auto-Encoder Outlier %,Auto-Encoder Outlier Score
1000231269,0.000085,1
1000231271,0.000122,1
1000231288,0.000087,1
1000231294,0.000083,1
1000231309,0.000085,1
1000231311,0.000075,3
1000231320,0.000083,1
1000231344,0.000078,3
1000231345,0.000083,1
1000231358,0.000086,1
1000231363,0.00013,1
1000231364,0.000081,1
1000231381,0.000085,1
1000231384,0.000088,1
1000231415,0.000079,3
1000231423,0.000086,1
1000231440,0.000081,1
1000231475,0.000091,1
1000231483,0.000086,1
1000231488,0.000087,1
1000231501,0.000085,1
1000231508,0.000084,1
1000231511,0.000081,1
1000231515,0.000078,3
1000231516,0.00009,1
1000231518,0.000088,1
1000231522,0.000108,1
1000231529,0.000083,1
1000231544,0.000088,1
1000231547,0.000081,1
1000231549,0.000088,1
1000231552,0.000085,1
1000231557,0.000085,1
1000231558,0.000083,1
1000231560,0.000128,1
1000231563,0.000082,1
1000231569,0.000081,1
1000231576,0.000292,2
1000231577,0.00011,1
1000231580,0.000077,3
1000231581,0.000084,1
1000231593,0.000084,1
1000231595,0.000081,1
1000231598,0.000138,2
1000231611,0.000086,1
1000231615,0.00009,1
1000231621,0.000087,1
1000231637,0.000084,1
1000231638,0.000088,1
1000231642,0.000084,1
1000231672,0.000096,1
1000231682,0.000088,1
1000231688,0.000083,1
1000231693,0.000087,1
1000231694,0.000086,1
1000231699,0.000079,3
1000231710,0.000087,1
1000231728,0.000083,1
1000231732,0.000087,1
1000231735,0.000083,1
1000231756,0.000091,1
1000231760,0.00021,2
1000231762,0.000087,1
1000231787,0.000087,1
1000231800,0.000077,3
1000231801,0.000392,2
1000231822,0.000088,1
1000231831,0.000149,2
1000231862,0.000111,1
1000231867,0.000103,1
1000231874,0.0001,1
1000231880,0.000513,2
1000231882,0.00008,3
1000231884,0.000115,1
1000231899,0.000079,3
1000231918,0.000091,1
1000231940,0.000091,1
1000231943,0.000092,1
1000231944,0.000084,1
1000231948,0.000084,1
1000231949,0.000101,1
1000231952,0.000094,1
1000231966,0.000087,1
1000231969,0.000094,1
1000231970,0.00014,2
1000231972,0.000087,1
1000231973,0.00008,3
1000231974,0.000082,1
1000231976,0.00008,1
1000231978,0.000095,1
